"",""
"Action","Action"
"Add Menu Group","Add Menu Group"
"Add Menu Item","Add Menu Item"
"Are you sure?","Are you sure?"
"Block","Block"
"CSV","CSV"
"Category ID","Category ID"
"Category Url","Category Url"
"Category","Category"
"Change Menu Group","Change Menu Group"
"Change status","Change status"
"Class","Class"
"Column width","Column width"
"Column","Column"
"Could not find menu group to delete.","Could not find menu group to delete."
"Could not find menu item to delete.","Could not find menu item to delete."
"Custom url or category url","Custom url or category url"
"Delete Menu Group","Delete Menu Group"
"Delete Menu Item","Delete Menu Item"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Menu Group '%s'","Edit Menu Group '%s'"
"Edit Menu Item '%s'","Edit Menu Item '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Image icon","Image icon"
"Link target","Link target"
"Menu Group was successfully deleted.","Menu Group was successfully deleted."
"Menu Group was successfully saved","Menu Group was successfully saved"
"Menu Group","Menu Group"
"Menu Groups","Menu Groups"
"Menu Item was successfully deleted.","Menu Item was successfully deleted."
"Menu Item was successfully saved","Menu Item was successfully saved"
"Menu Item","Menu Item"
"Menu Items","Menu Items"
"Name of menu group","Name of menu group"
"Name","Name"
"No","No"
"None","None"
"Order","Order"
"Parent ID","Parent ID"
"Parent Item","Parent Item"
"Please select menu groups to delete.","Please select menu groups to delete."
"Please select menu groups.","Please select menu groups."
"Please select menu items to delete.","Please select menu items to delete."
"Please select menu items.","Please select menu items."
"Position","Position"
"Save And Continue Edit","Save And Continue Edit"
"Save Menu Group","Save Menu Group"
"Save Menu Item","Save Menu Item"
"Status","Status"
"Store views","Store views"
"Submenu Column[i] Width","Submenu Column[i] Width"
"Submenu content","Submenu content"
"Submenu width","Submenu width"
"There was a problem saving the menu group.","There was a problem saving the menu group."
"There was a problem saving the menu item.","There was a problem saving the menu item."
"There was an error deleteing menu group.","There was an error deleteing menu group."
"There was an error deleteing menu groups.","There was an error deleteing menu groups."
"There was an error deleteing menu item.","There was an error deleteing menu item."
"There was an error deleteing menu items.","There was an error deleteing menu items."
"There was an error updating menu groups.","There was an error updating menu groups."
"There was an error updating menu items.","There was an error updating menu items."
"This menu group no longer exists.","This menu group no longer exists."
"This menu item no longer exists.","This menu item no longer exists."
"Title","Title"
"Total of %d menu groups were successfully deleted.","Total of %d menu groups were successfully deleted."
"Total of %d menu groups were successfully updated.","Total of %d menu groups were successfully updated."
"Total of %d menu items were successfully deleted.","Total of %d menu items were successfully deleted."
"Total of %d menu items were successfully updated.","Total of %d menu items were successfully updated."
"Type","Type"
"Unable to find menu group to save.","Unable to find menu group to save."
"Unable to find menu item to save.","Unable to find menu item to save."
"Url","Url"
"XML","XML"
"Yes","Yes"
